contract_expiration,rep_name,local_number,name,city,state,dues_paying_members
30-Sep-27,Antonio Diaz,108,Amalgamated Bank of Chicago,Chicago,IL,23
31-May-27,Antonio Diaz,2635,Chicago Family Medical Center,Chicago,IL,105
30-Sep-30,Antonio Diaz,2430,Custom Plastics,Elk Grove Village,IL,57
30-Sep-26,Antonio Diaz,969,Mickey's Cleanroom,Chicago,IL,14
30-Sep-26,Antonio Diaz,969,Mickey's Linen & Towel Chicago,Chicago,IL,69
29-Jun-26,Antonio Diaz,969,Mickey's Linen & Towel Villa Pk,Villa Park,IL,29
31-Aug-26,Antonio Diaz,76A,Open Kitchens,Chicago,IL,138
28-Aug-28,Antonio Diaz,1872,"Owens Corning - Summit, IL Roofing Plant - OC Roofing",Summit,IL,84
02-Oct-26,Antonio Diaz,969,Vestis @ Chicago - MC 701,Chicago,IL,187
14-Dec-26,Antonio Diaz,2741,Whitsons,Berkeley,IL,32
04-May-28,Ava Szoke,497,Aramark @ Rockwell Collins Manufacturing,Cedar Rapids,IA,3
01-Jul-28,Ava Szoke,497,Cedar Rapids School District,Cedar Rapids,IA,8
30-Jun-26,Ava Szoke,99H,ELDorado Cap Company c/o American Needle,Eldorado,IL,35
01-Mar-27,Ava Szoke,1525T,HUBCO INC.,Hutchinson,KS,3
07-Apr-29,Ava Szoke,108,Mednik Riverbend LLC,St. Louis,MO,14
31-Aug-26,Ava Szoke,428,Pendleton Woolen Mills,Bellevue,NE,5
19-May-28,Ava Szoke,2822,"Vestis @ Fulton, MO",Fulton,MO,42
31-Dec-25,Brian Forrest,10,Mahoning Valley Scrappers - HWS Baseball VI LLC,Niles,OH,FEE
31-Mar-29,Brian Forrest,2820,TJX Digital Dayton,Dayton,OH,215
05-Nov-27,Casey Martin,124/129,"A. G. Simpson (USA), Inc.",Sterling Heights,MI,423
30-Jun-27,Casey Martin,1426,AMCOR,Terre Haute,IN,482
08-Mar-27,Casey Martin,84,ASM  - Global (SeaGate Convention Centre),Toledo,OH,FEE
27-Aug-28,Casey Martin,1448,Auria,Fremont,OH,248
28-Feb-27,Casey Martin,84,AVI @ Huntington Center,Toledo,OH,FEE
28-Feb-27,Casey Martin,84,AVI Foodsystems Inc. dba Huntington and Glass City Center,Toledo,OH,FEE
23-Nov-28,Casey Martin,124/129,Coplas Inc.,Sterling Heights,MI,19
31-Oct-28,Casey Martin,1812,GVS,Findlay,OH,123
06-Sep-28,Casey Martin,2483,"Superior Trim, Inc. - (September Ends)",Springfield,OH,56
01-Mar-28,Casey Martin,1538,"Superior Trim, Inc. - Pieco LLC",Findlay,OH,86
30-Jun-28,Chanell Biami,479,"Chartwells @ UW La Crosse, WI",La Crosse,WI,35
30-Jun-27,Chanell Biami,361,Chartwells @ UW River Falls,River Falls,WI,13
31-May-28,Chanell Biami,122,Eurest @ Molson Coors,Milwaukee,WI,9
27-Apr-28,Chanell Biami,379,"Hanover Direct Manufacturing, LLC",La Crosse,WI,5
14-Feb-28,Chanell Biami,122,Hilton Milwaukee,Milwaukee,WI,65
20-Nov-28,Chanell Biami,122,Levy Restaurant @ Wisconsin Center District,Milwaukee,WI,101
14-Feb-28,Chanell Biami,122,Pfister Hotel,Milwaukee,WI,63
19-Aug-26,Chanell Biami,517,Sodexo @ UW Eau Claire,Eau Claire,WI,25
31-Dec-28,Chanell Biami,66,The Madison Concourse Hotel and Governor’s wClub,Madison,WI,38
31-Oct-27,Dale Moore,16,Eurest Dining @ Caterpillar Decatur,Decatur,IL,15
31-Jul-28,Dale Moore,16,Eurest Dining @ Tate & Lyle Co.,Decatur,IL,4
20-Aug-27,Dave Clark,2826,Compass @ Trine University - Bon Appetit,Angola,IN,12
28-Feb-27,Dave Clark,2002,FullBeauty,Indianapolis,IN,111
01-Jan-27,Dave Clark,68,Hoosier Park,Anderson,IN,35
31-Dec-27,Dave Clark,67,Sage Dining / FLIX Culver Academy,Culver,IN,16
06-Apr-28,Dave Clark,1490,TOPPAN Flexible Packaging (Sonoco),Edinburgh,IN,119
08-Feb-29,Dave Clark,71,Volume Service @  Centerplate Indianapolis Convention Center,Indianapolis,IN,Fee
15-Apr-29,Dioscoro Nava,969,5 Star Hotel Laundry - PureStar Group,Chicago,IL,113
15-Apr-29,Dioscoro Nava,969,5 Star Hotel Laundry - PureStar Group - Loews Hotel,Rosemont,IL,7
30-Sep-26,Dioscoro Nava,969,ALSCO Linen,Chicago,IL,150
31-Jul-27,Dioscoro Nava,124/129,Domestic Linen Supply & Laundry Co. [Detroit],Detroit,MI,26
19-Jun-27,Dioscoro Nava,124/129,Domestic Uniform Rental,Kalamazoo,MI,6
15-Nov-26,Dioscoro Nava,969,Drake Hotel,Chicago,IL,3
01-Apr-28,Dioscoro Nava,969,Elite Airline Linen of Chicago,Franklin Park,IL,23
15-Nov-28,Dioscoro Nava,969,Hyatt Regency O'Hare,Rosemont,IL,2
31-Mar-29,Dioscoro Nava,2430,Marberry The Cleaning Family,North Aurora,IL,51
02-Jul-26,Dioscoro Nava,5H,Midway Cap Co.,Chicago,IL,10
28-Feb-29,Dioscoro Nava,2430,Roman Decorating Products,Calumet City,IL,21
04-Sep-26,Dioscoro Nava,969,Skokie Valley Laundry & Cleaners,Highwood,IL,12
07-Jul-27,Dioscoro Nava,2562,West Michigan Shared Hospital Laundry,Grand Rapids,MI,153
31-Dec-27,Doug Warren,84,Aramark @ Lucas County Jail,Toledo,OH,4
31-May-27,Doug Warren,84,AVI @ BP Husky Refining,Oregon,OH,2
01-Feb-29,Doug Warren,84,"AVI Foodsystems Inc., Toledo Branch [Warehouse]",Maumee,OH,14
19-Jul-29,Doug Warren,1758,Biofit Engineered Products,Bowling Green,OH,26
05-Apr-29,Doug Warren,10,Hilton Akron/Fairlawn,Akron,OH,15
31-Dec-28,Doug Warren,463,Mazz Scrap LLC dba City Scrap & Salvage,Akron,OH,4
25-Jun-26,Doug Warren,463,"Metalico Akron, Inc.",Akron,OH,32
01-Apr-31,Doug Warren,323,NuCentury Textile Services,Toledo,OH,30
31-Mar-29,Doug Warren,84,"Premier Catering, Inc.",Toledo,OH,FEE
31-Jan-28,Doug Warren,84,Six Flags Entertainment - Sawmill Creek Resort,Huron,OH,100
31-May-28,Doug Warren,84,Sodexo @ Ohio Northern University (ONU) Food,Ada,OH,31
30-Jun-27,Doug Warren,84,Sodexo @ Ohio Northern University (ONU) Maintenance and Grounds,Ada,OH,54
04-Apr-28,Doug Warren,323,Vestis @ MC 544 ( Production),Toledo,OH,124
29-Oct-27,Doug Warren,323,"Vestis Services, LLC @ MC 544  (Drivers)",Toledo,OH,16
16-Oct-26,Doug Warren,1385,Wilson Sporting Goods Company,Ada,OH,125
25-Aug-27,Doug Warren,2590,Xerox Corp - Middletown OH,Middletown,OH,84
02-May-26,Eric Moore,108,Alsco Uniforms,St. Louis,MO,38
27-Nov-27,Eric Moore,546,DeMoulin Bros.,Greenville,IL,50
31-Oct-27,Eric Moore,146,Eurest @ John Deere Engineering,Waterloo,IA,0
31-Oct-27,Eric Moore,146,Eurest @ John Deere Engineering (Waterloo),Waterloo,IA,0
31-Mar-24,Eric Moore,1170,St. Louis Embroidery,Wentzville,MO,1
31-May-26,Eric Moore,399,T.J. Maxx,Evansville,IN,771
03-Oct-25,Eric Moore,3008,Vestis @ Des Moines - MC 637,Des Moines,IA,2
10-Mar-28,Eric Moore,594,"Vestis @ St. Louis, MO - MC 617",St. Louis,MO,57
27-Oct-28,Esau Chavez,2819,Aramark @ Capian,Caspian,MI,63
31-Jul-28,Esau Chavez,99,Chartwell @ UW Superior,Superior,WI,20
31-Dec-27,Esau Chavez,150,City of Duluth,Duluth,MN,13
30-Jun-26,Esau Chavez,150,Eurest @ Thrivent Financial Services,Minneapolis,MN,4
31-Mar-26,Esau Chavez,150,Health Systems Co-Op (H.S.C.L.),St. Paul,MN,270
31-Dec-28,Esau Chavez,99,Holiday Inn Duluth,Duluth,MN,75
31-Dec-26,Esau Chavez,99,"Radisson Hotel/Associated Hotels Duluth, Inc.",Duluth,MN,44
31-Jul-27,Esau Chavez,99,Ranier Liquor Store,Ranier,MN,2
30-Apr-28,Esau Chavez,99,Reef Bar,Duluth,MN,5
14-Sep-28,Esau Chavez,150,Twin City Tanning,South St. Paul,MN,68
